artist_id,artist_name_fa,category,candidate_rank,channel_id,channel_title,channel_description,published_at,source_query,manual_status,candidate_type,notes,api_channel_title,api_channel_description,custom_url,country,channel_published_at,view_count,subscriber_count,hidden_subscriber_count,video_count
5,محسن یگانه,pop,4,UCDv73IGr77RsJFbT4p8lBnA,mohsen yeganeh concerts,All videos are captured by me.,2015-04-23T16:12:23Z,محسن یگانه,pending_review,unknown,,mohsen yeganeh concerts,All videos are captured by me,@mohsenyeganehconcerts,DE,2015-04-23T16:12:23Z,255304,833,False,51
5,محسن یگانه,pop,5,UCLUK8cUTKyyNbDSs1xutwFA,محسن یگانه ریمیکس + Mohsen Yeganeh Remix,این کانال ریمیکس آهنگهای محسن یگانه را پخش میکند برای دانلود ریمیکس ها به کانال تلگرام مراجعه فرمایید Telgram ...,2019-04-11T10:55:17Z,محسن یگانه,pending_review,unknown,,محسن یگانه ریمیکس + Mohsen Yeganeh Remix,"این کانال ریمیکس آهنگهای محسن یگانه را پخش میکند

برای دانلود ریمیکس ها به کانال تلگرام مراجعه فرمایید

Telgram : mohsenyegane_remix

www.telegram.me/mohsenyeganeh_remix

www.instagram.com/mortezachizari

www.telegram.me/mortezachizari

",@mohsenyeganehremix,US,2019-04-11T10:55:17Z,96313,488,False,14
6,سهراب پاکزاد,pop,1,UCQnVOIzzZ-r2vKWZGEvd7Zw,Sohrab Pakzad,The Official Youtube Channel Of Sohrab Pakzad.,2023-12-17T15:48:24Z,سهراب پاکزاد,pending_review,unknown,,Sohrab Pakzad,The Official Youtube Channel Of Sohrab Pakzad,@sohrab.pakzad,,2023-12-17T15:48:24.373797Z,55877543,39900,False,84
6,سهراب پاکزاد,pop,2,UCp7ZHoSS_JBhS3Xi7dVg2DQ,Sohrab pakzad,All about sohrab pakzad #song#concert#live#music Instagram @sohrabpakzad_liliyana.,2020-11-03T09:02:06Z,سهراب پاکزاد,pending_review,unknown,,Sohrab pakzad,"All about sohrab pakzad
#song#concert#live#music
Instagram @sohrabpakzad_liliyana",@sohrabpakzad_liliyana,,2020-11-03T09:02:06.852817Z,3740157,8460,False,528
6,سهراب پاکزاد,pop,3,UC9qZPJyvvZiBmzYdqdgly1w,SohrabPakzadVEVO,,2023-05-01T23:30:54Z,سهراب پاکزاد,pending_review,unknown,,SohrabPakzadVEVO,,@sohrabpakzadvevo,,2023-05-01T23:30:54.168564Z,29200902,2630,False,44
6,سهراب پاکزاد,pop,4,UC6TdpSDjE3jt7z8RcFslTow,Sohrab Pakzad - Topic,,2016-11-28T06:33:02Z,سهراب پاکزاد,pending_review,unknown,,Sohrab Pakzad - Topic,,,,2016-11-28T06:33:02Z,11261269,3900,False,227
6,سهراب پاکزاد,pop,5,UCCbchRgKxL2xcAOPrdvO1ow,sohrab pakzad,به کانال رسمی سهراب پاکزاد خوش آمدید.,2022-09-13T13:27:00Z,سهراب پاکزاد,pending_review,unknown,,sohrab pakzad,به کانال رسمی سهراب پاکزاد خوش آمدید,@sohrabpakzad_arsham,,2022-09-13T13:27:00.159858Z,89764,351,False,28
7,گرشا رضایی,pop,1,UCisezGQDdiJZ6lmMQjVclvA,Garsha Rezaei,"Welcome to the official YouTube channel of Garsha Rezaei! Here you will find all of Garsha's music, including his latest hits and ...",2022-02-20T17:23:53Z,گرشا رضایی,pending_review,unknown,,Garsha Rezaei,"Welcome to the official YouTube channel of Garsha Rezaei! 

Here you will find all of Garsha’s music, including his latest hits and old favorites. With a unique voice and style, Garsha has captured the hearts of fans with his beautiful melodies and heartfelt lyrics. 
Subscribe to stay up-to-date with all of Garsha’s new releases!",@garsharezaeiofficial,DE,2022-02-20T17:23:53.299156Z,10561242,17900,False,241
7,گرشا رضایی,pop,2,UCyKEGPBJ8AXftaMfxXG9yKw,Garsha Rezaei - Topic,,2017-12-15T22:36:12Z,گرشا رضایی,pending_review,unknown,,Garsha Rezaei - Topic,,,,2017-12-15T22:36:12Z,5398742,2130,False,111
7,گرشا رضایی,pop,3,UCvSuB-kDM8Lnxvrt3r6D3Og,garsha_rezaei_fan,کانال هواداری گرشا رضایی اولین نفر از خبر های جدید گرشا رضایی مطلع شوید...,2021-02-22T13:16:55Z,گرشا رضایی,pending_review,unknown,,garsha_rezaei_fan,"کانال هواداری گرشا رضایی 
اولین نفر از خبر های جدید گرشا رضایی مطلع شوید...",@garsha_rezaei_fan,,2021-02-22T13:16:55.833928Z,66068,153,False,70
